Código;Município;Área (km²);Densidade demográfica, 2000;Distância à capital (km);Esperança de vida ao nascer, 2000;Taxa de fecundidade total, 2000;Renda per Capita, 2000;Índice de Gini, 2000;Intensidade da indigência, 2000;Intensidade da pobreza, 2000;Índice de Desenvolvimento Humano Municipal, 2000;Taxa bruta de freqüência à escola, 2000;Taxa de alfabetização, 2000;Média de anos de estudo das pessoas de 25 anos ou mais de idade, 2000;Populacao;QTD_TOTAL_CNPJ_SUPERMERCADO;Variacao_Populacao_1991_a_2000;Percentual_Populacao_65_anos;Percentual_Populacao_Urbana;Populacao por Supermercados;cluster
510340;Cuiabá (MT);3984.9;121.1;0.0;69.06;2.02;442.1;0.65;55.48;40.93;0.821;93.44;93.94;7.78;483346;2241.0;0.1999265167708093;0.0366776594820273;0.9859024384188552;215.68317715305668;2
410690;Curitiba (PR);430.9;3682.8;0.0;71.57;1.74;619.82;0.59;64.56;43.76;0.856;90.44;96.63;8.47;1587315;3740.0;0.2070515233434851;0.0569993983550839;1.0;424.4157754010696;0
351380;Diadema (SP);30.7;11608.8;15.39157447;69.93;2.15;292.4;0.49;75.09;50.09;0.79;83.9;93.2;6.17;357064;386.0;0.1696010639169043;0.0323023323549839;1.0;925.0362694300518;0
312230;Divinópolis (MG);711.0;258.4;103.3079195;75.54;2.05;327.64;0.53;56.13;37.52;0.831;85.25;94.22;6.62;183962;297.0;0.2145752730057704;0.0559082854067687;0.9674443635098552;619.4006734006734;3
500370;Dourados (MS);4096.9;40.2;198.264169;70.49;2.3;308.07;0.62;55.27;39.49;0.788;81.28;91.01;6.11;164949;487.0;0.2130030003529828;0.0463900963328059;0.9089354891511922;338.7043121149897;2
330170;Duque de Caxias (RJ);465.7;1655.3;16.80624065;67.49;2.41;226.14;0.53;64.56;48.77;0.753;77.87;92.0;6.05;775456;1660.0;0.161173428209056;0.0516857178228036;0.995964954813684;467.1421686746988;0
351500;Embu (SP);70.3;2941.4;24.69262414;69.99;2.44;244.2;0.48;80.97;53.27;0.772;77.7;92.31;5.57;207663;281.0;0.3312584140008974;0.0241930435368842;1.0;739.0142348754448;0
291080;Feira de Santana (BA);1338.1;359.2;92.54533409;66.83;2.25;206.99;0.62;49.42;47.18;0.74;85.81;86.21;5.98;480949;933.0;0.183300651745492;0.046004877856072;0.8976627459460359;515.486602357985;1
351570;Ferraz de Vasconcelos (SP);28.5;4980.3;27.21021152;70.33;2.4;221.24;0.49;66.26;50.0;0.772;81.96;92.07;5.75;142377;197.0;0.480533660545307;0.0299697282566706;0.991789404187474;722.725888324873;0
420540;Florianópolis (SC);436.5;760.1;0.0;72.81;1.68;701.42;0.57;61.89;43.26;0.875;95.22;96.44;9.26;342315;966.0;0.324835612250032;0.05709069132232;0.970407373325738;354.3633540372671;1
